Model,Key Parameters,CV Loss
XGBoost,"{'n_estimators': 176, 'max_depth': 4, 'learning_rate': 0.011632560008838805, 'subsample': 0.773657142746063, 'colsample_bytree': 0.7753603608719395, 'reg_alpha': 0.00022888035398378767, 'reg_lambda': 4.893261502637006}",0.7358
LightGBM,"{'n_estimators': 130, 'max_depth': 4, 'learning_rate': 0.010039856303508456, 'num_leaves': 39, 'subsample': 0.9441554065487753, 'colsample_bytree': 0.7421465905117742, 'reg_alpha': 4.043192940864163, 'reg_lambda': 5.855735803974474}",0.6955
Random Forest,"{'n_estimators': 376, 'max_depth': 3, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.8594
CatBoost,"{'iterations': 155, 'depth': 8, 'learning_rate': 0.01247874650349555, 'l2_leaf_reg': 9.643000332572145, 'bagging_temperature': 0.20520041704886774}",0.6983
BiLSTM+Attn,"hidden=64, seq_len=20, dropout=0.2, lr=0.001, batch=64, patience=8",0.6558
Ridge LogReg (meta),C=1.0 (L2),N/A
