year,n_train,n_test,n_high_vix,n_low_vix,acc_high_vix,acc_low_vix,diff_pp,high_gt_low
2019,721,242,33,209,30.303030303030305,53.588516746411486,-23.28548644338118,False
2020,963,249,203,46,68.96551724137932,89.13043478260869,-20.16491754122937,False
2021,1212,238,97,141,39.175257731958766,24.822695035460992,14.352562696497774,True
2022,1450,247,132,115,46.21212121212121,55.65217391304348,-9.440052700922266,False
2024,1942,244,19,225,5.263157894736842,48.888888888888886,-43.62573099415204,False
2025,2186,247,8,239,12.5,43.09623430962343,-30.596234309623433,False
